session_id,condition_id,participant_id,seq,original_type,t_q_send_ref_ms,t_b_recv_ms,t_b_pub_ms,t_r_recv_ms
S01,C1,P01,72,cmd,1776951579221.974,1776951579227.072,1776951579228.175,1776951579229.579
S01,C1,P01,73,cmd,1776951579277.049,1776951579283.626,1776951579284.693,1776951579288.063
S01,C1,P01,74,cmd,1776951579332.954,1776951579337.014,1776951579338.022,1776951579338.511
S01,C1,P01,75,cmd,1776951579389.076,1776951579394.083,1776951579395.182,1776951579396.359
S01,C1,P01,76,cmd,1776951579444.015,1776951579451.006,1776951579452.281,1776951579456.018
S01,C1,P01,77,cmd,1776951579499.947,1776951579503.838,1776951579504.667,1776951579506.421
S01,C1,P01,78,cmd,1776951579554.974,1776951579559.165,1776951579560.048,1776951579560.118
S01,C1,P01,79,cmd,1776951579610.964,1776951579614.927,1776951579615.878,1776951579618.442
S01,C1,P01,80,cmd,1776951579667.056,1776951579670.46,1776951579671.344,1776951579672.583
S01,C1,P01,81,cmd,1776951579722.975,1776951579728.723,1776951579729.193,1776951579730.921
S01,C1,P01,82,cmd,1776951579778.035,1776951579783.67,1776951579785.17,1776951579786.108
S01,C1,P01,83,cmd,1776951579834.073,1776951579836.232,1776951579837.325,1776951579837.884
S01,C1,P01,85,cmd,1776951579887.029,1776951579888.869,1776951579889.97,1776951579890.649
S01,C1,P01,86,cmd,1776951579940.94,1776951579948.277,1776951579949.9,1776951579953.174
S01,C1,P01,87,cmd,1776951579996.931,1776951580000.172,1776951580001.29,1776951580001.392
S01,C1,P01,88,cmd,1776951580051.964,1776951580058.903,1776951580059.856,1776951580062.796
S01,C1,P01,89,cmd,1776951580106.938,1776951580111.316,1776951580112.83,1776951580114.941
S01,C1,P01,90,cmd,1776951580162.954,1776951580168.744,1776951580170.151,1776951580174.861
S01,C1,P01,91,cmd,1776951580218.015,1776951580224.17,1776951580225.24,1776951580229.254
S01,C1,P01,92,cmd,1776951580274.005,1776951580278.589,1776951580279.32,1776951580282.7
S01,C1,P01,93,cmd,1776951580328.93,1776951580336.004,1776951580337.017,1776951580341.078
S01,C1,P01,94,cmd,1776951580385.056,1776951580399.591,1776951580400.122,1776951580406.566
S01,C1,P01,95,cmd,1776951580440.982,1776951580442.822,1776951580444.216,1776951580444.602
S01,C1,P01,96,cmd,1776951580496.079,1776951580503.95,1776951580505.234,1776951580509.882
S01,C1,P01,97,cmd,1776951580551.016,1776951580555.442,1776951580558.581,1776951580560.245
S01,C1,P01,98,cmd,1776951580606.972,1776951580613.245,1776951580614.337,1776951580614.436
S01,C1,P01,99,cmd,1776951580661.958,1776951580664.566,1776951580665.76,1776951580670.286
S01,C1,P01,100,cmd,1776951580717.943,1776951580723.717,1776951580724.934,1776951580725.732
S01,C1,P01,101,cmd,1776951580773.94,1776951580775.78,1776951580777.191,1776951580777.56
S01,C1,P01,102,cmd,1776951580828.948,1776951580830.803,1776951580832.25,1776951580832.568
S01,C1,P01,103,cmd,1776951580885.061,1776951580886.901,1776951580888.317,1776951580888.681
S01,C1,P01,104,cmd,1776951580940.027,1776951580942.088,1776951580943.47,1776951580943.647
S01,C1,P01,105,cmd,1776951580996.069,1776951581001.922,1776951581002.856,1776951581003.899
S01,C1,P01,106,cmd,1776951581051.01,1776951581059.417,1776951581061.298,1776951581063.256
S01,C1,P01,107,cmd,1776951581107.02,1776951581109.245,1776951581110.355,1776951581110.64
S01,C1,P01,108,cmd,1776951581163.026,1776951581170.854,1776951581172.739,1776951581174.297
S01,C1,P01,109,cmd,1776951581218.076,1776951581224.39,1776951581226.111,1776951581228.578
S01,C1,P01,110,cmd,1776951581274.053,1776951581282.621,1776951581283.379,1776951581288.771
S01,C1,P01,111,cmd,1776951581329.001,1776951581332.497,1776951581333.589,1776951581335.27
S01,C1,P01,112,cmd,1776951581384.958,1776951581400.931,1776951581402.372,1776951581411.362
S01,C1,P01,113,cmd,1776951581439.998,1776951581443.791,1776951581444.818,1776951581445.528
S01,C1,P01,114,cmd,1776951581496.024,1776951581503.771,1776951581505.548,1776951581507.87
S01,C1,P01,115,cmd,1776951581551.069,1776951581558.586,1776951581559.635,1776951581561.574
S01,C1,P01,116,cmd,1776951581606.932,1776951581609.304,1776951581610.508,1776951581611.197
S01,C1,P01,117,cmd,1776951581663.067,1776951581678.369,1776951581680.617,1776951581687.259
S01,C1,P01,118,cmd,1776951581717.929,1776951581723.284,1776951581724.522,1776951581725.666
S01,C1,P01,119,cmd,1776951581773.044,1776951581775.534,1776951581776.572,1776951581776.664
S01,C1,P01,120,cmd,1776951581828.978,1776951581835.476,1776951581836.572,1776951581840.18
S01,C1,P01,122,cmd,1776951581882.924,1776951581885.464,1776951581886.458,1776951581886.545
S01,C1,P01,123,cmd,1776951581936.956,1776951581941.654,1776951581942.652,1776951581946.208
S01,C1,P01,124,cmd,1776951581993.056,1776951581999.645,1776951582000.784,1776951582005.42
S01,C1,P01,125,cmd,1776951582047.988,1776951582050.231,1776951582051.526,1776951582051.653
S01,C1,P01,126,cmd,1776951582103.974,1776951582109.82,1776951582111.192,1776951582113.966
S01,C1,P01,127,cmd,1776951582159.003,1776951582161.589,1776951582162.543,1776951582162.623
S01,C1,P01,128,cmd,1776951582214.922,1776951582223.664,1776951582225.307,1776951582229.609
S01,C1,P01,129,cmd,1776951582269.96,1776951582275.09,1776951582276.218,1776951582277.962
S01,C1,P01,130,cmd,1776951582326.058,1776951582327.898,1776951582329.079,1776951582329.678
S01,C1,P01,131,cmd,1776951582382.018,1776951582384.883,1776951582385.643,1776951582386.463
S01,C1,P01,132,cmd,1776951582437.036,1776951582441.316,1776951582442.356,1776951582443.601
S01,C1,P01,133,cmd,1776951582492.922,1776951582495.592,1776951582496.302,1776951582496.542
S01,C1,P01,134,cmd,1776951582548.965,1776951582564.415,1776951582565.47,1776951582575.369
S01,C1,P01,135,cmd,1776951582604.067,1776951582609.538,1776951582610.456,1776951582614.913
S01,C1,P01,136,cmd,1776951582660.074,1776951582667.618,1776951582669.402,1776951582671.422
S01,C1,P01,137,cmd,1776951582715.042,1776951582716.897,1776951582717.775,1776951582718.662
S01,C1,P01,138,cmd,1776951582771.027,1776951582784.492,1776951582785.707,1776951582794.62
S01,C1,P01,139,cmd,1776951582825.984,1776951582833.996,1776951582835.677,1776951582837.316
S01,C1,P01,140,cmd,1776951582882.006,1776951582884.676,1776951582885.556,1776951582885.626
S01,C1,P01,141,cmd,1776951582938.006,1776951582945.895,1776951582946.855,1776951582950.775
S01,C1,P01,142,cmd,1776951582992.944,1776951582995.436,1776951582996.343,1776951582997.851
S01,C1,P01,143,cmd,1776951583047.971,1776951583054.344,1776951583055.338,1776951583060.317
