session_id,condition_id,participant_id,seq,t_frame_ns,size_bytes,mode
S00,C0,P00,1,770005082287761,384,COLOR
S00,C0,P00,2,770005139906249,472,COLOR
S00,C0,P00,3,770005196134879,367,COLOR
S00,C0,P00,4,770005247830726,495,COLOR
S00,C0,P00,5,770005305550781,425,COLOR
S00,C0,P00,6,770005361449526,467,COLOR
S00,C0,P00,7,770005413079629,352,COLOR
S00,C0,P00,8,770005454722070,500,COLOR
S00,C0,P00,9,770005502634668,348,COLOR
S00,C0,P00,10,770005545521663,362,COLOR
S00,C0,P00,11,770005611185704,491,COLOR
S00,C0,P00,12,770005659691990,382,COLOR
S00,C0,P00,13,770005720063620,530,COLOR
S00,C0,P00,14,770005776352860,404,COLOR
S00,C0,P00,15,770005830406852,439,COLOR
S00,C0,P00,16,770005893636395,404,COLOR
S00,C0,P00,17,770005948849153,453,COLOR
S00,C0,P00,18,770005999763361,437,COLOR
S00,C0,P00,19,770006051797128,394,COLOR
S00,C0,P00,20,770006114730108,417,COLOR
S00,C0,P00,21,770006167971083,446,COLOR
S00,C0,P00,22,770006231291422,309,COLOR
S00,C0,P00,23,770006276550158,427,COLOR
S00,C0,P00,24,770006327692710,465,COLOR
S00,C0,P00,25,770006383174645,424,COLOR
S00,C0,P00,26,770006420533496,453,COLOR
S00,C0,P00,27,770006494061775,428,COLOR
S00,C0,P00,28,770006557694562,414,COLOR
S00,C0,P00,29,770006621748936,479,COLOR
S00,C0,P00,30,770006672753359,466,COLOR
S00,C0,P00,31,770006725718460,407,COLOR
S00,C0,P00,32,770006789289448,383,COLOR
S00,C0,P00,33,770006837669953,458,COLOR
S00,C0,P00,34,770006885002291,467,COLOR
S00,C0,P00,35,770006935688954,448,COLOR
S00,C0,P00,36,770006996652225,391,COLOR
S00,C0,P00,37,770007047591434,353,COLOR
S00,C0,P00,38,770007112216191,451,COLOR
S00,C0,P00,39,770007172655095,437,COLOR
S00,C0,P00,40,770007228844790,309,COLOR
S00,C0,P00,41,770007268993570,431,COLOR
S00,C0,P00,42,770007322776976,472,COLOR
S00,C0,P00,43,770007376397426,453,COLOR
S00,C0,P00,44,770007432346671,330,COLOR
S00,C0,P00,45,770007477235569,480,COLOR
S00,C0,P00,46,770007531568203,429,COLOR
S00,C0,P00,47,770007575357796,406,COLOR
S00,C0,P00,48,770007613866567,388,COLOR
S00,C0,P00,49,770007669988074,390,COLOR
S00,C0,P00,50,770007724250212,441,COLOR
S00,C0,P00,51,770007780000000,376,COLOR
